stock_code,date,foreign_buy,percent_foreign_ownership,cash_dividend,dividend_yield,beta,eps,pe,forward_pe,bvps,pb
DDG,2024-05-11,,3.69,,,1.48,184.0,15.76,57.88,10090.0,0.29
DDH,2024-05-11,,,600.0,0.03,-0.45,,,11.9,,
DDM,2024-05-11,,0.11,,,-1.04,-8479.0,-0.22,0.19,-73544.0,-0.03
DDN,2024-05-11,,,,,0.19,531.0,14.95,25.4,13447.0,0.59
DDV,2024-05-11,,5.52,600.0,0.04,3.44,1185.0,14.08,19.48,11766.0,1.42
DFC,2024-05-11,,,2000.0,0.1,-0.19,1565.0,12.46,7.56,24024.0,0.81
DFF,2024-05-11,100.0,,,,1.96,-1998.0,-0.85,17.04,7998.0,0.21
DGC,2024-05-11,8660.0,17.78,6000.0,0.05,1.68,7743.0,14.27,13.54,37235.0,2.97
DGT,2024-05-11,,0.41,,,1.78,462.0,13.08,12.12,12711.0,0.48
DGW,2024-05-11,1200.0,23.49,500.0,0.01,1.56,2333.0,18.13,18.76,13080.0,3.23
DHA,2024-05-11,,10.11,2000.0,0.05,0.71,4216.0,9.55,15.87,28499.0,1.41
DHB,2024-05-11,,,,,1.75,5835.0,1.45,13.73,2023.0,4.2
DHC,2024-05-11,710.0,39.33,2000.0,0.06,0.64,3330.0,10.5,9.38,24330.0,1.44
DHD,2024-05-11,,,300.0,0.01,-0.05,1721.0,15.69,23.58,15832.0,1.71
DHG,2024-05-11,900.0,53.76,7500.0,0.07,0.38,6362.0,16.35,12.59,33726.0,3.08
DHM,2024-05-11,,0.13,,,0.45,234.0,38.44,25.4,11342.0,0.79
DHN,2024-05-11,,,2000.0,0.08,-0.01,,,10.63,,
DHP,2024-05-11,,0.43,1000.0,0.09,-0.44,1456.0,7.55,7.57,18114.0,0.61
DHT,2024-05-11,,35.99,1000.0,0.01,0.32,792.0,87.74,72.9,13074.0,5.32
DIC,2024-05-11,,0.33,,,-0.23,-1409.0,-0.71,18.99,-3469.0,-0.29
DID,2024-05-11,,0.04,,,1.38,67.0,59.4,62.44,11801.0,0.34
DIG,2024-05-11,238000.0,5.0,,,1.34,135.0,154.7,12.65,13035.0,1.61
DIH,2024-05-11,,,,,-0.03,-380.0,-43.15,9.42,17340.0,0.95
DKC,2024-05-11,,,1300.0,1.86,0.36,,,0.65,,
DL1,2024-05-11,26700.0,6.19,,,0.92,497.0,13.49,9.37,13959.0,0.48
DLD,2024-05-11,,,,,2.4,-2131.0,-2.67,-9.32,4194.0,1.36
DLG,2024-05-11,100.0,1.28,,,1.09,-237.0,-8.2,3.23,2149.0,0.9
DLR,2024-05-11,,4.71,,,-0.17,396.0,43.45,131.51,-3875.0,-4.44
DLT,2024-05-11,,0.04,1000.0,0.16,,-37446.0,-0.17,0.28,337805.0,0.02
DM7,2024-05-11,,,1711.0,0.09,0.34,4004.0,5.0,5.64,18969.0,1.05
DMC,2024-05-11,,56.56,2500.0,0.04,0.54,5289.0,12.54,11.51,44221.0,1.5
DMN,2024-05-11,,,,,0.18,458.0,11.34,2.83,12893.0,0.4
DMS,2024-05-11,,,200.0,0.03,0.65,1269.0,6.23,9.88,12103.0,0.65
DNA,2024-05-11,,,1500.0,0.06,-0.47,2276.0,10.46,8.36,15346.0,1.55
DNC,2024-05-11,,,2500.0,0.03,-0.22,6468.0,11.75,12.08,16650.0,4.56
DND,2024-05-11,,,,,-0.09,94.0,200.85,271.47,12004.0,1.57
DNE,2024-05-11,,,500.0,0.05,-0.6,573.0,16.24,7.13,10575.0,0.88
DNH,2024-05-11,,,2850.0,0.06,0.9,1637.0,30.54,38.95,12663.0,3.95
DNL,2024-05-11,,,1000.0,0.03,0.07,6.0,5182.61,22.94,10344.0,2.88
DNM,2024-05-11,,3.5,,,-0.21,-11013.0,-0.83,118.23,515.0,17.74
DNN,2024-05-11,,,1700.0,8.5,,1471.0,0.14,0.13,13584.0,0.01
DNP,2024-05-11,,0.18,,,1.0,326.0,62.9,39.59,42819.0,0.48
DNT,2024-05-11,,,1000.0,0.03,-0.47,,,23.74,,
DNW,2024-05-11,,0.25,1600.0,0.05,0.51,2702.0,12.25,16.02,19787.0,1.67
DOC,2024-05-11,,,400.0,0.04,-0.16,,,26.6,,
DOP,2024-05-11,,,1200.0,0.09,-0.26,,,6.96,,
DP1,2024-05-11,,,2300.0,0.06,1.26,6597.0,5.76,8.26,19598.0,1.94
DP2,2024-05-11,,,,,-0.89,-884.0,-3.28,580.0,3939.0,0.74
DP3,2024-05-11,,,3000.0,0.05,0.5,5657.0,10.25,14.5,21804.0,2.66
DPC,2024-05-11,,1.23,,,1.24,-2124.0,-4.71,4.47,11360.0,0.88
DPG,2024-05-11,25600.0,6.44,1000.0,0.02,2.19,3424.0,14.72,9.24,39777.0,1.27
DPH,2024-05-11,,0.06,1700.0,0.03,-0.12,567.0,100.21,8.78,23699.0,2.4
CNN,2024-11-15,,,1215.0,0.03,1.9,,,26.83,,
DPM,2024-05-11,8800.0,7.9,2000.0,0.06,1.4,1700.0,19.67,24.16,28704.0,1.17
DPP,2024-05-11,,,1200.0,0.1,-0.25,,,4.4,,
DPR,2024-05-11,1200.0,5.04,1500.0,0.04,1.52,2719.0,14.01,14.92,37062.0,1.03
ECI,2024-05-11,,,600.0,0.02,0.02,-4313.0,-5.68,12.86,16630.0,1.47
DPS,2024-05-11,,0.34,,,,-217.0,-1.38,0.67,10472.0,0.03
DQC,2024-05-11,,0.61,,,0.36,-733.0,-17.6,22.16,31576.0,0.41
DRC,2024-05-11,1600.0,9.86,1200.0,0.04,1.31,2259.0,12.44,14.64,16125.0,1.74
DRG,2024-05-11,,,,,1.79,382.0,20.95,91.15,11699.0,0.68
DRH,2024-05-11,,0.91,,,1.22,-955.0,-1.99,2.36,11563.0,0.16
DRI,2024-05-11,1400.0,0.1,600.0,0.05,2.95,1393.0,8.16,13.72,7809.0,1.46
DRL,2024-05-11,,2.93,5800.0,0.1,0.15,4884.0,12.37,13.87,11567.0,5.22
DS3,2024-05-11,,0.34,,,-0.37,1452.0,3.72,5.76,7851.0,0.69
DSD,2024-05-11,,,,,,166.0,120.16,77.53,12876.0,1.55
DSE,2024-05-11,,13.17,,,0.98,748.0,32.7,47.46,12611.0,1.94
DSG,2024-05-11,,0.17,,,0.22,-608.0,-7.57,-14.62,60.0,76.67
DSN,2024-05-11,,15.86,4000.0,0.07,0.23,8062.0,6.78,6.36,27913.0,1.96
DSP,2024-05-11,,,,,0.05,-31.0,-401.15,484.43,8047.0,1.57
DST,2024-05-11,,,,,1.48,320.0,9.7,32.68,12386.0,0.25
DTA,2024-05-11,,0.2,,,-0.17,95.0,41.93,21.75,11320.0,0.35
DTB,2024-05-11,,,1073.0,0.09,-2.34,,,7.31,,
DTC,2024-05-11,,,,,0.46,-3624.0,-1.21,-1.46,2041.0,2.16
DTD,2024-05-11,14300.0,1.07,,,2.89,2829.0,8.84,5.29,22744.0,1.1
DTE,2024-05-11,,,,,-0.05,699.0,7.3,2.0,11282.0,0.45
DTG,2024-05-11,,0.09,,,0.6,3857.0,6.27,6.09,21061.0,1.15
DTH,2024-05-11,,,300.0,0.02,-0.13,482.0,28.2,18.15,18177.0,0.75
DTI,2024-05-11,,,,,1.41,15.0,149.83,4.25,10059.0,0.22
DTK,2024-05-11,,0.01,400.0,0.03,-0.05,883.0,13.24,12.14,12202.0,0.96
DTL,2024-05-11,,,,,0.3,-240.0,-50.77,44.09,12543.0,0.97
DTP,2024-05-11,,,1500.0,0.01,0.04,14883.0,10.55,9.8,57321.0,2.74
DTT,2024-05-11,,0.17,800.0,0.04,-0.01,1360.0,13.79,20.38,16000.0,1.17
DUS,2024-05-11,,,,,-0.11,6.0,1317.07,-0.97,13641.0,0.59
DVC,2024-05-11,,,600.0,0.06,-0.5,,,6.02,,
DVG,2024-05-11,,,,,-0.73,16.0,76.29,4.48,11196.0,0.11
DVM,2024-05-11,,,,,0.98,1208.0,7.2,7.52,16981.0,0.51
DVN,2024-05-11,,,700.0,0.03,1.92,1943.0,11.64,11.27,14220.0,1.59
DVP,2024-05-11,100.0,14.12,7000.0,0.09,0.33,8235.0,9.45,9.02,35678.0,2.18
DVW,2024-05-11,,,2000.0,0.1,0.19,,,6.11,,
DWC,2024-05-11,,,,,-0.22,1267.0,10.26,36.2,11019.0,1.18
DWS,2024-05-11,,,600.0,0.04,-0.15,1715.0,7.84,7.87,13663.0,0.98
DXG,2024-05-11,58800.0,18.29,,,1.74,209.0,80.57,10.11,21694.0,0.77
DXL,2024-05-11,,1.86,125.0,0.02,0.2,6197.0,1.03,31.66,12237.0,0.52
DXP,2024-05-11,,,500.0,0.04,1.43,1022.0,11.45,9.35,14106.0,0.83
DXS,2024-05-11,31900.0,18.06,,,1.59,-17.0,-335.68,1.58,14291.0,0.4
DXV,2024-05-11,,0.54,,,0.36,-994.0,-3.52,-4.89,9965.0,0.35
DZM,2024-05-11,,9.71,,,,-936.0,-3.1,7.82,-823.0,-3.52
E12,2024-05-11,,,,,1.31,-2352.0,-2.59,2.09,9859.0,0.62
E1VFVN30,2024-05-11,34200.0,87.63,,,,,,,,
E29,2024-05-11,,,500.0,0.07,0.83,39.0,178.94,8.02,10048.0,0.69
EBS,2024-05-11,,0.66,800.0,0.08,1.1,1573.0,6.61,10.12,15389.0,0.68
ECO,2024-05-11,,,,,8.69,322.0,50.25,,10921.0,1.48
EFI,2024-05-11,,0.03,,,0.56,48.0,33.07,17.41,15037.0,0.11
EIB,2024-05-11,1804000.0,3.29,300.0,0.02,0.47,1547.0,12.09,6.31,12979.0,1.44
EIC,2024-05-11,,,1700.0,0.08,-1.58,1399.0,15.72,22.81,11962.0,1.84
EID,2024-05-11,,,1400.0,0.05,0.27,5174.0,5.32,6.45,30461.0,0.9
EIN,2024-05-11,,,,,0.74,-154.0,-17.52,122.48,8823.0,0.31
ELC,2024-05-11,51400.0,2.89,,,1.95,772.0,32.71,19.47,14173.0,1.78
EME,2024-05-11,,,700.0,0.03,-1.67,,,17.08,,
EMG,2024-05-11,,,1500.0,0.06,-0.05,,,5.19,,
EMS,2024-05-11,,,1000.0,0.04,0.7,3066.0,7.5,6.96,13930.0,1.65
EPC,2024-05-11,,,,,0.43,,,23.43,,
EPH,2024-05-11,,0.22,1300.0,0.08,0.52,-331.0,-49.82,4.58,11203.0,1.47
EVE,2024-05-11,,67.05,500.0,0.05,0.99,-784.0,-13.64,7.49,22435.0,0.48
EVF,2024-05-11,5200.0,0.74,,,1.63,754.0,14.52,13.18,12603.0,0.87
EVG,2024-05-11,,0.75,,,1.76,178.0,34.96,14.16,13233.0,0.47
EVS,2024-05-11,,0.37,,,1.59,52.0,101.71,8.15,11860.0,0.45
FBA,2017-07-07,,0.97,,,,556.0,1.62,0.2,10799.0,0.08
FBC,2024-05-11,,,20000.0,5.41,,929.0,3.98,0.23,17627.0,0.21
FCC,2024-05-11,,,,,,,,99.95,,
FCM,2024-05-11,,2.94,,,1.01,-41.0,-80.64,9.83,11717.0,0.28
FCN,2024-05-11,,31.26,100.0,0.01,1.02,-204.0,-62.52,33.46,21215.0,0.6
FCS,2024-05-11,,,,,1.99,-17.0,-440.51,172.79,2090.0,3.56
FDC,2024-05-11,,0.02,,,-0.12,26.0,612.09,120.6,11571.0,1.38
FGL,2024-05-11,,,,,0.25,-1100.0,-9.18,-25.27,1373.0,7.36
FHN,2024-05-11,,,400.0,0.03,0.16,141.0,99.87,19.23,15962.0,0.88
FHS,2024-05-11,,,1800.0,0.06,-0.27,4509.0,6.92,5.68,15897.0,1.96
FIC,2024-05-11,,,500.0,0.04,-0.42,448.0,31.36,23.29,12568.0,1.12
FID,2024-05-11,,,,,-0.3,-180.0,-6.66,24.72,10666.0,0.11
FIR,2024-05-11,,0.15,,,0.28,25.0,207.67,4.22,11544.0,0.45
FIT,2024-05-11,,0.03,,,0.84,461.0,9.39,5.44,17469.0,0.25
FLC,2024-05-11,,2.16,,,,-2649.0,-1.32,2.82,11190.0,0.31
FMC,2024-05-11,,31.05,2000.0,0.04,0.65,4251.0,10.7,9.3,34848.0,1.31
FOC,2024-05-11,50.0,0.88,2000.0,0.02,1.98,7795.0,10.26,7.04,42855.0,1.87
FOX,2024-05-11,,,2000.0,0.02,1.9,5627.0,15.68,12.38,20705.0,4.26
FPT,2024-05-11,267310.0,46.02,1000.0,0.01,1.04,5652.0,23.5,17.83,24213.0,5.48
FRC,2024-05-11,,,,,0.12,8.0,3333.33,10.71,11678.0,2.14
FRM,2024-05-11,,,426.0,0.1,0.37,117.0,34.92,18.45,11343.0,0.36
FRT,2024-05-11,124630.0,37.41,,,0.88,775.0,220.62,186.27,14614.0,11.69
FSO,2024-05-11,,,,,,,,41.49,,
FT1,2024-05-11,4900.0,1.49,3700.0,0.08,0.28,,,5.94,,
FTI,2024-05-11,,,,,,-331.0,-11.18,70.72,8688.0,0.43
FTM,2024-05-11,,0.55,,,0.07,-2591.0,-0.27,5.83,-15777.0,-0.04
FTS,2024-05-11,9800.0,30.47,500.0,0.01,1.89,1822.0,23.55,31.25,12940.0,3.32
FUCTVGF3,2024-05-11,,,,,,,,,,
GSM,2024-05-11,,,2000.0,0.09,1.06,1700.0,13.23,25.28,16119.0,1.4
FUCTVGF4,2024-05-11,,,,,,,,,,
FUCTVGF5,2024-05-11,,0.46,,,,,,,,
FUCVREIT,2024-05-11,300.0,1.86,,,,,,,,
FUEABVND,2024-05-11,,,,,,,,,,
FUEBFVND,2024-05-11,,,,,,,,,,
FUEDCMID,2024-05-11,,83.74,,,,,,,,
FUEFCV50,2024-05-11,,1.81,,,,,,,,
FUEIP100,2024-05-11,,2.22,,,,,,,,
FUEKIV30,2024-05-11,,96.77,,,,,,,,
FUEKIVFS,2024-05-11,,87.26,,,,,,,,
FUEKIVND,2024-05-11,,98.41,,,,,,,,
FUEMAV30,2024-05-11,3500.0,89.6,,,,,,,,
FUEMAVND,2024-05-11,,93.33,,,,,,,,
FUESSV30,2024-05-11,,33.75,,,,,,,,
A32,2024-07-11,,,3500.0,0.1,0.92,,,5.54,,
AAA,2024-07-11,51000.0,2.13,,,1.53,967.0,8.89,8.72,15896.0,0.54
AAH,2024-07-11,,,,,1.63,100.0,36.25,9.7,10100.0,0.36
AAM,2024-07-11,,0.92,,,0.02,-511.0,-12.52,79.01,18914.0,0.34
AAS,2024-07-11,,1.04,,,1.81,339.0,20.08,6.53,10837.0,0.63
AAT,2024-07-11,,0.82,,,0.73,257.0,13.1,23.87,10117.0,0.33
AAV,2024-07-11,10500.0,0.11,,,1.52,-140.0,-44.92,17.39,11201.0,0.56
ABB,2024-07-11,,16.41,,,0.63,67.0,112.75,7.84,12759.0,0.59
ABC,2024-07-11,,0.91,500.0,0.05,1.76,1551.0,6.67,7.31,24214.0,0.43
ABI,2024-07-11,14000.0,9.9,1000.0,0.04,1.04,2394.0,10.65,5.77,21353.0,1.19
ABR,2024-07-11,,48.4,2000.0,0.15,0.57,584.0,22.27,14.97,14474.0,0.9
ABS,2024-07-11,,,,,0.95,52.0,71.22,14.92,11513.0,0.32
ABT,2024-07-11,,2.29,2000.0,0.05,0.1,6431.0,6.2,7.65,44535.0,0.9
ABW,2024-07-11,22000.0,0.6,,,1.34,1016.0,8.57,7.04,14023.0,0.62
ACB,2024-07-11,26.0,30.0,1000.0,0.04,0.95,3992.0,6.29,6.37,17654.0,1.42
ACC,2024-07-11,,7.7,,,0.95,646.0,20.73,12.66,12588.0,1.06
ACE,2024-07-11,,0.23,3500.0,0.1,0.51,2069.0,17.64,8.7,20029.0,1.82
ACG,2024-07-11,,38.54,2300.0,0.06,0.86,3263.0,12.57,14.04,27898.0,1.47
ACL,2024-07-11,,2.27,,,0.27,202.0,59.08,7.49,16100.0,0.74
ACM,2024-07-11,,1.9,,,1.46,-296.0,-1.69,8.5,6575.0,0.08
ACS,2024-07-11,,,,,0.27,,,16.75,,
ACV,2024-07-11,9200.0,3.68,,,1.45,4613.0,24.73,26.49,26223.0,4.35
ADC,2024-07-11,,,1500.0,0.08,0.19,3562.0,5.61,4.14,19715.0,1.01
ADG,2024-07-11,,46.41,,,0.01,1230.0,9.35,4.6,17034.0,0.68
ADP,2024-07-11,400.0,0.83,4150.0,0.14,0.43,3934.0,7.37,13.92,11800.0,2.46
ADS,2024-07-11,,0.15,1000.0,0.11,1.35,433.0,20.9,6.28,12055.0,0.75
AFX,2024-07-11,,,,,0.64,922.0,7.98,6.9,13319.0,0.55
AG1,2024-07-11,,,230.0,0.02,0.42,422.0,23.12,5.28,10038.0,0.97
AGF,2024-07-11,,0.47,,,0.27,-95.0,-27.39,14.62,-6510.0,-0.4
AGG,2024-07-11,24600.0,0.93,,,1.38,2253.0,7.01,4.94,19924.0,0.79
AGM,2024-07-11,,0.56,,,0.6,-14767.0,-0.23,12.63,-5250.0,-0.66
AGP,2024-07-11,,,,,0.11,2040.0,19.11,15.56,16654.0,2.34
AGR,2024-07-11,,0.29,700.0,0.04,1.93,585.0,31.37,21.36,11241.0,1.63
AGX,2024-07-11,,1.74,1500.0,0.02,0.42,,,8.34,,
AIC,2024-07-11,,75.11,,,1.1,-34.0,-375.96,39.39,10759.0,1.18
ALT,2024-07-11,,,1000.0,0.07,0.14,-262.0,-54.22,12.49,37018.0,0.38
ALV,2024-07-11,,0.34,,,1.38,-233.0,-26.15,6.18,11280.0,0.54
AMC,2024-07-11,,2.84,1300.0,0.08,0.14,2173.0,7.73,7.72,18084.0,0.93
AMD,2024-07-11,,0.72,,,,-782.0,-1.41,8.99,10588.0,0.1
AME,2024-07-11,,2.24,,,0.54,328.0,15.24,14.26,12214.0,0.41
AMP,2024-07-11,,,,,0.87,278.0,36.72,20.96,13863.0,0.74
AMS,2024-07-11,,35.47,300.0,0.03,2.05,1134.0,8.52,6.92,13358.0,0.72
AMV,2024-07-11,,,,,1.05,-445.0,-3.82,4.46,12403.0,0.14
ANT,2024-07-11,,,,,0.64,3330.0,7.02,12.29,15725.0,1.49
ANV,2024-07-11,76300.0,1.49,500.0,0.01,1.68,464.0,74.58,15.1,21470.0,1.61
APC,2024-07-11,,15.02,,,-0.03,-1019.0,-6.28,132.04,28639.0,0.22
APF,2024-07-11,,,4500.0,0.08,0.46,6614.0,8.06,10.57,37627.0,1.42
APG,2024-07-11,,9.33,,,1.27,-300.0,-30.42,8.55,10887.0,0.84
APH,2024-07-11,50500.0,28.46,,,1.32,511.0,12.43,4.93,24122.0,0.26
API,2024-07-11,15000.0,0.78,,,2.4,-558.0,-13.99,17.26,10709.0,0.73
APL,2024-07-11,,,1200.0,0.07,0.18,,,8.11,,
APP,2024-07-11,,0.47,,,1.56,-685.0,-12.6,11.64,10089.0,0.85
APS,2024-07-11,,0.99,,,1.83,550.0,12.17,11.35,10006.0,0.67
APT,2024-07-11,,,,,0.63,-2698.0,-0.89,3.3,-7606.0,-0.32
ARM,2024-07-11,,0.11,1000.0,0.04,0.43,974.0,25.66,16.99,12044.0,2.08
ART,2024-07-11,,0.66,,,,-247.0,-5.25,6.01,1391.0,0.93
ASA,2024-07-11,,0.25,,,,18.0,697.29,15.75,,
ASG,2024-07-11,,0.73,,,0.26,396.0,47.86,74.27,22369.0,0.85
ASM,2024-07-11,9400.0,12.47,,,1.39,615.0,14.41,4.1,21836.0,0.41
ASP,2024-07-11,,48.97,,,0.54,196.0,20.37,16.55,7668.0,0.52
AST,2024-07-11,,43.52,1200.0,0.02,0.46,3016.0,18.14,10.7,14435.0,3.79
ATA,2024-07-11,,0.05,,,1.32,60.0,8.4,0.2,-25217.0,-0.02
ATB,2024-07-11,,0.06,,,0.44,-278.0,-2.16,2.6,2348.0,0.26
ATG,2024-07-11,,0.09,,,0.65,-50.0,-54.22,82.19,41.0,65.85
ATS,2024-07-11,,0.15,,,-0.41,51.0,318.08,11.34,12452.0,1.3
AVC,2024-07-11,,,8584.0,0.15,0.22,3154.0,17.62,35.48,14976.0,3.71
AVF,2024-07-11,,0.21,,,,-2388.0,-0.17,1.16,-45240.0,-0.01
AVG,2024-07-11,,0.07,,,2.33,727.0,34.52,35.93,16336.0,1.54
BAB,2024-07-11,,,,,0.49,1213.0,9.89,9.77,12748.0,0.94
BAF,2024-07-11,,2.21,,,1.08,1104.0,20.66,17.81,11857.0,1.92
BAL,2024-07-11,,0.08,700.0,0.08,0.15,,,18.12,,
BAX,2024-07-11,,16.33,2500.0,0.07,-0.04,3610.0,10.53,15.03,26963.0,1.41
BBC,2024-07-11,,0.73,1500.0,0.03,0.12,7085.0,7.06,8.49,78292.0,0.64
BBH,2024-07-11,,,200.0,0.02,-0.75,,,40.99,,
BBM,2024-07-11,,0.25,200.0,0.03,1.06,1448.0,5.18,26.27,13753.0,0.55
BBS,2024-07-11,,0.53,900.0,0.08,0.1,1423.0,7.94,15.78,17721.0,0.64
BBT,2024-07-11,,0.8,,,-1.11,-2060.0,-6.67,15.82,7233.0,1.9
BCA,2024-07-11,,,,,2.2,20691.0,0.53,20.76,28219.0,0.39
BCB,2024-07-11,,,2919.0,4.17,,28.0,24.84,0.2,10028.0,0.07
BCC,2024-07-11,4200.0,0.93,,,1.09,-1082.0,-7.21,6.05,14097.0,0.55
BCE,2024-07-11,,1.83,,,0.64,-240.0,-25.51,8.32,8827.0,0.69
BCF,2024-07-11,,,1800.0,0.05,-0.48,3069.0,13.03,16.95,12222.0,3.27
BCG,2024-07-11,166000.0,1.39,,,1.45,341.0,18.99,5.98,24196.0,0.27
BCM,2024-07-11,3700.0,2.04,1800.0,0.03,1.17,2796.0,24.1,29.68,19392.0,3.48
BCO,2024-07-11,,,,,,,,10.32,,
BCP,2024-07-11,,3.26,,,0.19,77.0,151.53,116.33,12606.0,0.93
BCR,2024-07-11,,0.01,,,1.82,210.0,25.6,6.02,12713.0,0.42
BCV,2024-07-11,,,,,,194.0,111.09,30.71,11704.0,1.84
BDB,2024-07-11,,,800.0,0.09,0.01,648.0,13.42,8.17,11858.0,0.73
BDG,2024-07-11,,1.42,2500.0,0.07,0.51,5882.0,5.88,9.13,23059.0,1.5
BDT,2024-07-11,,0.12,648.0,0.09,1.37,152.0,48.61,27.46,14226.0,0.52
BDW,2024-07-11,,0.05,2550.0,0.11,0.17,3294.0,7.07,6.08,16175.0,1.44
BED,2024-07-11,,,2200.0,0.07,-0.06,2128.0,14.47,17.33,13691.0,2.25
BEL,2024-07-11,,,1000.0,0.03,0.14,3.0,11870.5,36.0,8268.0,3.99
BFC,2024-07-11,7900.0,4.46,2500.0,0.07,1.96,5624.0,6.68,10.22,25337.0,1.48
BGE,2024-07-11,1500.0,0.01,,,2.4,567.0,19.38,15.63,14015.0,0.78
BGW,2024-07-11,,,548.0,0.03,0.18,551.0,29.04,25.93,10519.0,1.52
BHA,2024-07-11,,0.03,1250.0,0.06,0.16,2629.0,8.29,22.87,14651.0,1.49
BHC,2024-07-11,,0.9,,,0.5,2.0,995.48,78.57,-17140.0,-0.13
BHG,2024-07-11,,,,,,1745.0,6.3,78.63,11097.0,0.99
BHI,2024-07-11,,75.02,,,-0.4,-21.0,-615.86,130.5,11803.0,1.11
BHK,2024-07-11,,0.01,900.0,0.04,0.07,,,19.06,,
BHN,2024-07-11,,17.57,2700.0,0.07,0.24,1423.0,27.4,44.75,22286.0,1.75
BHP,2024-07-11,,0.03,250.0,0.04,-2.01,-461.0,-14.11,21.45,15453.0,0.42
BIC,2024-07-11,8000.0,45.45,1500.0,0.05,1.21,4004.0,8.22,6.43,24106.0,1.36
BID,2024-07-11,113200.0,17.02,,,1.1,4201.0,11.44,13.3,24286.0,1.98
BIG,2024-07-11,,0.03,,,1.18,,,4.44,,
BII,2024-07-11,,,,,1.24,30.0,23.62,0.79,8971.0,0.08
BIO,2024-07-11,,,650.0,0.04,0.97,,,22.02,,
BKC,2024-07-11,,0.14,,,0.08,2115.0,5.91,28.22,17543.0,0.71
BKG,2024-07-11,,0.1,,,0.5,184.0,18.42,9.71,12473.0,0.27
BLF,2024-07-11,,,,,1.31,-370.0,-9.83,8.54,10581.0,0.34
BLI,2024-07-11,100.0,1.02,,,1.08,1122.0,8.38,6.96,14705.0,0.64
BLN,2024-07-11,,0.01,,,,,,29.69,,
BLT,2024-07-11,,0.02,8800.0,0.22,-0.15,,,25.45,,
BMC,2024-07-11,300.0,5.05,1150.0,0.05,0.51,2152.0,9.9,15.56,18469.0,1.15
BMD,2024-07-11,,,700.0,0.07,1.07,,,5.41,11879.0,0.81
BMF,2024-07-11,,,,,0.73,826.0,11.26,7.19,11152.0,0.83
BMG,2024-07-11,,19.17,1500.0,0.08,0.11,915.0,21.09,7.3,16974.0,1.14
BMI,2024-07-11,10700.0,30.3,500.0,0.02,1.23,2303.0,9.07,6.68,22835.0,0.92
BMJ,2024-07-11,,,,,1.43,465.0,21.92,15.75,11469.0,0.89
BMN,2024-07-11,,,700.0,0.08,0.16,1693.0,5.08,6.01,10561.0,0.81
BMP,2024-07-11,9100.0,84.96,18340.0,0.14,0.94,12419.0,10.63,10.49,35922.0,3.67
BMS,2024-07-11,,0.36,,,2.34,364.0,25.04,9.97,11994.0,0.76
BMV,2024-07-11,,,,,-0.02,49.0,241.26,87.49,10139.0,1.16
BNA,2024-07-11,,,,,0.83,2260.0,5.09,4.23,21005.0,0.55
BNW,2024-07-11,,,780.0,0.08,,1314.0,7.0,12.24,11020.0,0.83
BOT,2024-07-11,,0.17,,,1.08,-1227.0,-1.93,28.04,1717.0,1.38
BPC,2024-07-11,,1.35,200.0,0.02,0.77,67.0,149.3,49.35,24596.0,0.41
BQB,2024-07-11,,0.48,,,0.32,-230.0,-16.08,11562.5,4431.0,0.84
BRC,2024-07-11,,1.23,1100.0,0.08,0.18,1854.0,7.47,8.73,16849.0,0.82
BRR,2024-07-11,,,700.0,0.04,-0.1,1276.0,14.11,14.87,12399.0,1.45
BRS,2024-07-11,,,1400.0,0.06,,-62.0,-355.7,6.74,13744.0,1.6
BSA,2024-07-11,,,1980.0,0.09,0.21,478.0,47.3,29.41,14040.0,1.61
BSC,2024-07-11,,4.83,,,0.06,727.0,20.07,18.38,12733.0,1.15
BSD,2024-07-11,,0.4,500.0,0.04,1.5,,,184.94,,
BSG,2024-07-11,,,,,0.04,643.0,18.2,17.89,6035.0,1.94
BSH,2024-07-11,,0.31,2000.0,0.1,-0.08,2261.0,8.84,11.84,17702.0,1.13
BSI,2024-07-11,,40.09,,,1.89,1868.0,25.91,23.22,22306.0,2.17
BSL,2024-07-11,,0.25,700.0,0.07,0.49,734.0,12.94,12.28,10979.0,0.87
BSP,2024-07-11,,,1000.0,0.11,-0.25,324.0,29.4,120.4,14973.0,0.64
BSQ,2024-07-11,,0.01,1500.0,0.08,0.11,1996.0,9.93,9.44,18410.0,1.08
BSR,2024-07-11,151100.0,0.67,700.0,0.03,1.71,961.0,21.99,57.09,17940.0,1.18
BST,2024-07-11,,0.22,1300.0,0.08,-0.74,1744.0,9.17,8.38,14033.0,1.14
BT1,2024-07-11,,,800.0,0.06,-0.17,,,9.42,,
BT6,2024-07-11,,8.28,,,,-1264.0,-2.69,7.01,-29147.0,-0.12
BTB,2024-07-11,,0.01,,,-0.75,401.0,13.66,2083.65,14037.0,0.39
BTD,2024-07-11,,,2200.0,0.11,0.88,1443.0,13.44,14.07,39656.0,0.49
BTG,2024-07-11,,,,,-0.98,205.0,31.77,15.47,15349.0,0.42
BTH,2024-07-11,,,700.0,0.02,0.44,19685.0,1.69,2.09,29022.0,1.15
BTN,2024-07-11,,,,,0.74,,,-1.44,,
BTP,2024-07-11,1407.0,8.65,3272.0,0.27,0.4,502.0,24.42,40.69,17220.0,0.71
BTS,2024-07-11,200.0,0.12,,,0.31,-1217.0,-4.27,-5.06,9278.0,0.56
BTT,2024-07-11,,4.91,3350.0,0.1,0.19,3337.0,10.49,9.01,28086.0,1.25
